Name,Colour
Aluminium,#B0C4DE
Schwertmannite,#BEC800
Halite_main,#FFC0C0
Copper,#FFC080
Sepiolite,#66CDAA
Marl,#9BA0BF
Halotrichite,#C8DC00
Jarosite,#BEFA14
Fluorite,#761A96
Sylvite,#FFC0FF
Berthierine,#F4A460
Gibbsite,#DAA520
Montmorillonite,#F5DEB3
Palygorskite,#AB9900
Stevensite,#EEE8AA
Beidellite,#92A800
Saponite,#BDB76B
Illite_main,#00C000
Nontronite,#C0C000
Corundum,#4F28B7
Vermiculite,#DEB887
Glauconite,#90EE90
Thorite,#DC143C
Scheelite,#7FFFD4
Kaolinite_Dickite,#D2691E
MuscoviteIllite,#009200
IlliteSmectite,#546676
Forsterite,#C8FF8C
Lizardite_Chrysotile,#CCFFCC
Antigorite,#3A4D13
HollanditeCoronadite,#63B6A5
Talc,#98FB98
Pargasite,#33CCFF
OtherClaysBLS,#6B8E23
Riebeckite,#003399
Glaucophane,#CCFFFF
Anthophyllite,#FFCC00
Actinolite,#CC6600
Tremolite,#BF8F00
Hornblende,#FFFF66
Aegirine,#FF5050
Hedenbergite,#CC0066
DiopsideHedenbergite,#FF66FF
Diopside,#FFCCFF
Augite,#FF3296
QuartzClayMix,#9ACD32
Fayalite,#4C6519
Enstatite,#F0DCF0
Orthopyroxene,#9653A9
Ferrosillite,#500050
Steel,#F2F2F2
FeMuscovite,#DDA0DD
Unclassified_main,#323232
Olivine,#82AE2A
LowConfidence,#808080
OtherPhasesBLS,#D3D3D3
Chloritoid,#808000
Chamosite,#787800
Chlorite_main,#ABAB00
Clinochlore,#E6E600
Paragonite,#EADC5C
Annite,#CC3300
Biotite_main,#A0522D
Phlogopite,#CC9900
Muscovite_main,#006400
KFeldspar_main,#008080
Anorthoclase,#00AAAA
Anorthite,#0000CC
Bytownite,#00B0CC
Labradorite,#9BC2E6
Andesine,#DDEBF7
Oligoclase,#4DE6E6
Albite,#80FFFF
Cordierite,#D8BFD8
Allanite,#804000
Piemontite,#FF6347
Zoisite,#E6E6FA
Epidote_main,#00FF00
Kyanite_Sillimanite_Andalusite,#ADD8E6
Topaz,#AFEEEE
Staurolite,#804040
Uvarovite,#3CB371
Andradite,#8CB432
Grossular,#96E696
Pyrope,#FF7F50
Spessartine,#FF4500
Almandine,#B22222
Elbaite,#C6E0B4
Schorl,#008000
DraviteSchorl,#00B050
Dravite,#1EF01E
Quartz,#F0E68C
Titanite,#D2B48C
Zircon,#FF00FF
Florencite,#87CEEB
Xenotime,#00FF99
Monazite_main,#00A8FF
Apatite,#FF1493
Anhydrite_Gypsum,#DA70D6
Celestine,#9D33C8
BariteCelestine,#8040C0
Barite_main,#804080
Pentlandite,#A50021
Galena,#FF0066
Sphalerite,#0000FF
CuSulphides,#00BFFF
Chalcopyrite,#DE8F00
Pyrite_Marcasite,#FFD700
Siderite_main,#B57779
SideriteMagnesite,#8C8085
Magnesite,#668990
Rhodochrosite,#EEA9B8
Kutnohorite,#9400D3
Ankerite_main,#805CFF
FeDolomite,#807AFF
Dolomite,#9898FF
Calcite_Aragonite,#C0C0FF
Perovskite,#CD5C5C
Baddeleyite,#FF80FF
Cassiterite,#847FA7
Goethite,#C17574
FeOxides_main,#800000
FeTiOxides,#FFE100
Ulvospinel,#FFA500
Ilmenite,#FF8000
Rutile_Anatase,#FF0000
Gahnite,#00FA9A
Hercynite,#7750A9
Spinel,#FF46FF
ChromiteSpinel,#A000A0
Chromite,#640064
Magnesiochromite,#FF9BFF
Background,#FFFFFF
