Name,Colour
Marl,#9BA0BF
Ankerite,#805CFF
FeOxides,#800000
FeDolomite,#807AFF
Halite,#FFC0C0
Albite,#80FFFF
Kaolinite,#D2691E
Illite,#00C000
OtherClays,#6B8E23
Chlorite,#ABAB00
Siderite,#B57779
Dolomite,#9898FF
Calcite,#C0C0FF
AndesineAnorthite,#00C0C0
OtherPhases,#D3D3D3
Muscovite,#006400
Unclassified,#323232
QuartzClayMix,#9ACD32
Zircon,#FF00FF
Biotite,#A0522D
Smectite,#F5DEB3
Glauconite,#90EE90
Pyrite,#FFD700
Rutile_Anatase,#FF0000
Oligoclase,#4DE6E6
KFeldspar,#008080
Barite,#804080
Apatite,#FF1493
Anhydrite,#DA70D6
Quartz,#F0E68C
Background,#FFFFFF
